Step	Mean_DeltaT	Std_DeltaT	N_Replicas
1000	5.630923333333333	2.361063037539094	3
2000	-0.6275633333333331	3.7487987634752193	3
3000	2.3755700000000006	12.6743071460455	3
4000	-1.9417966666666668	15.182137189507719	3
5000	-3.19363	10.337157391609164	3
6000	-2.2544866666666667	6.822606965268726	3
7000	-1.7506533333333334	8.719998697387135	3
8000	-3.0051936666666665	7.473944838901363	3
9000	-0.041526666666666046	12.47316297943041	3
10000	0.9783733333333332	8.148980175606843	3
11000	-2.5316266666666665	6.8802355448438925	3
12000	-3.3775633333333333	6.857002648025836	3
13000	-1.6980403333333334	7.775925280590107	3
14000	-3.8227533333333334	15.131505806925935	3
15000	2.7615056666666664	3.9996238760196356	3
16000	2.0212233333333334	3.4864049280216047	3
17000	-0.37693	3.98730232173333	3
18000	-3.16935	10.112112948137991	3
19000	4.994032333333333	13.454232754591633	3
20000	-2.78707	7.659180309478293	3
21000	-2.4445	8.559736308835687	3
22000	1.5138200000000002	7.378384943359896	3
23000	-2.6715066666666663	13.433324081333456	3
24000	2.409800666666666	5.997494456049237	3
25000	3.016362333333333	6.25103268997182	3
26000	7.970776666666667	1.6017652757296663	3
27000	8.666846666666666	9.933231180166569	3
28000	8.137054666666666	8.894035790975058	3
29000	4.594173333333333	1.0447054173465997	3
30000	2.0385433333333336	8.756901469334535	3
31000	0.6623066666666665	12.015074772219826	3
32000	2.49273	5.902500060406607	3
33000	-5.1042	9.10422531434718	3
34000	-4.231233333333334	7.87570339562336	3
35000	-3.7531055933333337	5.790435118667895	3
36000	-4.49384	1.9995617037991098	3
37000	-6.117367466666667	9.685486019187847	3
38000	-6.506823333333334	2.965256791920952	3
39000	-7.56291	4.504520430867197	3
40000	-1.6484499999999997	3.3741369202212295	3
41000	-1.9739233333333335	3.1894226054308534	3
42000	-6.779233333333334	9.40629074307898	3
43000	-4.451558666666666	6.7564097652647845	3
44000	3.1460666666666675	6.885798667056228	3
45000	1.4884466666666667	3.982781383911667	3
46000	2.7773000000000003	4.790321730541697	3
47000	-2.3222633333333333	4.761834074223223	3
48000	-6.13327	8.569359119776696	3
49000	-1.9673733333333334	13.19018076487708	3
50000	-4.302880000000001	11.247637720463795	3
51000	-5.5231433333333335	1.8823609053614911	3
52000	-4.855396666666667	8.286804041162874	3
53000	-3.0678533333333333	12.001665707747959	3
54000	0.6850300000000002	10.511078869949555	3
55000	3.2551366666666666	8.723453514614114	3
56000	6.755413333333333	14.549303425447327	3
57000	1.0508166666666667	5.596316751742465	3
58000	3.1529066666666665	7.111221865589157	3
59000	-2.2554	4.410672622491949	3
60000	-0.18600999999999956	11.442123824933027	3
61000	6.034277	4.652914992750995	3
62000	3.839026666666667	9.801156859480075	3
63000	-0.05913199999999982	9.035710875288784	3
64000	3.456916666666667	6.406244558993462	3
65000	0.9475699999999998	8.568808176175962	3
66000	10.28907	0.8369833228326599	3
67000	5.975836	5.312853744906592	3
68000	0.18209688999999984	4.463691135901578	3
69000	0.13302	4.518920560144867	3
70000	6.441579999999999	8.74450456533702	3
71000	1.5470966666666672	12.007443947453318	3
72000	0.3870166666666668	10.774209185867578	3
73000	-0.013598333333333379	3.9334950273399776	3
74000	-1.3199179999999997	2.7507636805825393	3
75000	-0.6328766666666663	8.950921659719368	3
76000	-4.979416666666666	7.196729133330873	3
77000	-3.15237	2.246124058394816	3
78000	-1.0171111	5.154205771147446	3
79000	-8.502846666666665	4.837134319122566	3
80000	-5.71857	4.19721107440405	3
81000	-3.58507	1.570989392357568	3
82000	-2.9238576666666667	6.205923473365292	3
83000	1.448183333333333	7.7229467814192105	3
84000	4.94956	4.277744418954923	3
85000	-2.3553133333333336	5.944698868549469	3
86000	-0.8425596666666667	1.13127109625692	3
87000	0.07938666666666687	5.339371558763571	3
88000	-3.726086666666667	5.472782808172944	3
89000	-1.079386666666667	5.764601155902578	3
90000	-2.1132466666666665	6.134398818876495	3
91000	1.23569	6.670714620698445	3
92000	-2.89052	9.209356427698951	3
93000	-7.77268	6.374227594830608	3
94000	-7.75309	3.974587632836896	3
95000	-5.503768666666666	6.259634094605317	3
96000	-1.6881466666666671	6.847175854279875	3
97000	-8.22587	3.5896370539234193	3
98000	-1.4833833333333335	11.15673175624624	3
99000	-5.6345	8.363701903320084	3
100000	-5.514679999999999	7.281042595308723	3
101000	-0.6832766666666666	2.9709811898484535	3
102000	-2.235968666666667	2.3031375589367937	3
103000	-3.8172936666666666	10.891859470152024	3
104000	-2.2999366666666665	3.0307240094131522	3
105000	-3.1855099999999994	11.498783696882903	3
106000	0.26649333333333325	2.4669894361819495	3
107000	-0.2857526666666666	2.6080243216544843	3
108000	-2.3672306666666665	2.4650601312506217	3
109000	-1.3900233333333334	8.11360267085056	3
110000	0.7501253333333331	7.5438347397318655	3
111000	2.4228436666666666	3.3301394186040216	3
112000	3.852866666666667	5.64611914375116	3
113000	-0.9029306333333333	2.4787932866875373	3
114000	-1.911356666666667	10.405496270309905	3
115000	-2.6225963333333335	2.741168461652865	3
116000	1.2652956666666668	4.7342251792248256	3
117000	2.97038	7.789283717852367	3
118000	2.1394133333333336	9.244893525619068	3
119000	3.931293333333333	2.220095341293552	3
120000	2.507543333333333	7.855873886413486	3
121000	-2.7400300000000004	6.7679577403453095	3
122000	10.155406666666666	5.860770831565873	3
123000	10.651586666666667	2.9742526621881558	3
124000	6.46806	7.044982608473919	3
125000	3.9022133333333335	6.630635690922351	3
126000	3.841278666666667	4.2998801925013375	3
127000	4.26992	4.396835207464569	3
128000	-2.8563566666666667	12.127655234893238	3
129000	-1.886252	16.361539403225848	3
130000	-4.799123333333333	11.572750108925419	3
131000	-11.527913333333332	2.401875570160397	3
132000	-9.187846666666667	8.567012115815718	3
133000	-1.512063333333333	10.834776106880721	3
134000	-3.8007466666666665	15.447388527855875	3
135000	-3.805666666666666	16.608910524574856	3
136000	-3.6075166666666667	12.383598885252757	3
137000	0.26901666666666735	16.997301199185515	3
138000	1.439253333333334	16.13438484580473	3
139000	-0.38040333333333365	10.835562555568277	3
140000	-0.6482223333333333	2.14519734259446	3
141000	1.6309866666666668	10.72247042665697	3
142000	4.407816666666666	12.101776046160884	3
143000	4.813258333333334	5.852188534553405	3
144000	-5.99055	2.996278923982212	3
145000	1.8307159999999998	7.360691004131882	3
146000	3.3076833333333333	9.627606165305751	3
147000	1.8267766666666663	6.0325450671033805	3
148000	2.46129	3.3519736163639475	3
149000	1.2768863333333336	5.039637126269146	3
