Step	Mean_DeltaT	Std_DeltaT	N_Replicas
1000	6.680890000000001	13.372580073280549	3
2000	8.588913333333334	12.964018278914658	3
3000	5.714846666666666	13.388997969453627	3
4000	2.8822566666666662	14.721903238292029	3
5000	3.9042499999999998	7.801589192536351	3
6000	0.44419666666666596	13.771014064767826	3
7000	-0.41903929999999967	13.71296250530692	3
8000	-0.41256333333333356	16.877980134246908	3
9000	-1.79404	13.790739444090732	3
10000	-0.31270333333333333	8.629483198849936	3
11000	1.2699299999999998	15.609835277500528	3
12000	2.4356299999999997	9.770011826364387	3
13000	0.04905566666666713	10.40874119220938	3
14000	3.5584066666666665	9.924315959048933	3
15000	3.12053	8.763121701351636	3
16000	0.30690833333333334	6.893918984094484	3
17000	-0.5271866666666666	7.936806937845556	3
18000	1.645855	7.243811477773631	3
19000	4.463529666666666	3.7391269658197395	3
20000	4.089743333333333	8.240691267207705	3
21000	3.0223566666666666	1.055831659135742	3
22000	5.19061	2.9671394107961966	3
23000	1.6373499999999999	6.0231513466208035	3
24000	6.331033333333333	4.146369335133248	3
25000	4.982058666666666	4.94816876394746	3
26000	2.4620599999999997	6.4628632532338175	3
27000	1.3222800000000001	2.920653123737908	3
28000	-1.8251493333333333	9.276607897800861	3
29000	-1.1390966666666669	5.205704562586445	3
30000	-1.4177233333333337	9.763756447261134	3
31000	-7.582976666666667	2.8230403301110196	3
32000	-4.732256666666667	1.8545230568621498	3
33000	-2.0878733333333335	5.9931903474387775	3
34000	-4.4774666666666665	3.2068913084377106	3
35000	-2.681513333333333	3.5930405600874216	3
36000	-0.18387666666666677	5.452886362334477	3
37000	0.3922733333333334	5.447638631575458	3
38000	-3.232303333333333	6.112934685536345	3
39000	-4.40917	5.175233199296434	3
40000	-4.5065056666666665	5.594561576172554	3
41000	-0.9620900000000002	4.716228996762138	3
42000	-1.4117679999999997	5.680394976445916	3
43000	-3.46439	7.379144205061993	3
44000	-4.449056666666666	3.4259965431584036	3
45000	-5.1804	4.533322228785419	3
46000	-3.9943566666666666	6.516822850564018	3
47000	-5.324533333333333	5.664371760480885	3
48000	-3.1907859999999997	6.709317770708733	3
49000	-5.261646666666667	6.114397983786575	3
50000	-6.204961333333334	5.349932804520571	3
51000	-7.111619999999999	4.292912491432827	3
52000	-7.012046666666667	3.4168523886807485	3
53000	-7.503313333333334	4.48449567144772	3
54000	-3.769864333333334	4.182364799599186	3
55000	0.053656	1.3151861596093537	3
56000	0.4015596666666667	1.7801701132477012	3
57000	-1.9409799999999997	5.464529446814245	3
58000	0.7471173333333333	1.0084131310065003	3
59000	-0.2468033333333334	3.6052644582656255	3
60000	-0.19588200000000003	2.5042517927420955	3
61000	0.8842026666666668	3.1953868479233205	3
62000	2.764981666666667	3.823483834856417	3
63000	-0.5291239999999999	1.5534954424612903	3
64000	-2.917626666666667	3.8135387759184165	3
65000	-0.272578333333333	7.7790379698750876	3
66000	-2.491509	8.019218397127801	3
67000	-3.2771403333333335	5.3394068296695965	3
68000	-2.0816666666666666	8.187177714794844	3
69000	-2.3432066666666667	4.816282801355557	3
70000	-1.3057533333333333	6.927610972451711	3
71000	-0.932823333333333	8.1549819581182	3
72000	-0.5377566666666668	5.625982327792483	3
73000	0.5639566666666668	6.932605745982771	3
74000	-0.25387999999999983	5.899386076355742	3
75000	1.8762686666666664	3.720152605791506	3
76000	3.1418433333333335	8.690640906137668	3
77000	2.93277	5.757460425812757	3
78000	4.543182333333333	5.567726085245783	3
79000	2.6378033333333333	5.659826427456352	3
80000	2.8958856666666666	5.339466913183032	3
81000	-2.171483333333333	4.393527031444479	3
82000	-2.794943333333334	1.4452282221273336	3
83000	1.5212136666666665	2.2380839588251225	3
84000	2.5322633333333333	5.23827245192853	3
85000	-0.020850000000000184	6.987623226612895	3
86000	1.9251533333333333	9.297280588055484	3
87000	1.1715639999999998	4.625447885034269	3
88000	3.2984266666666664	5.366959078671398	3
89000	6.246213333333333	3.8141333810229203	3
90000	5.7928299999999995	1.1902775365854805	3
91000	2.141385666666667	2.623230761453581	3
92000	3.401901	2.6991885332342016	3
93000	4.183203333333333	3.5485785093517843	3
94000	4.618015666666667	6.817542805004332	3
95000	3.4584499999999996	4.45816396397665	3
96000	0.7044800000000002	5.6358712890554905	3
97000	-1.133216666666667	9.558974368060275	3
98000	-1.0145933333333332	5.988068029559561	3
99000	-2.7462633333333337	12.953148600368689	3
100000	-4.408923000000001	12.599726728251174	3
101000	-0.2762100000000001	12.011051660495845	3
102000	-0.18341999999999933	12.059061777053802	3
103000	-1.2875499999999995	11.551427171916897	3
104000	1.3137600000000003	11.685323681336344	3
105000	3.3881800000000006	9.824379430193034	3
106000	2.981013333333333	10.45405468694962	3
107000	6.716066666666667	14.307297511837564	3
108000	0.1697999999999998	16.21527410159939	3
109000	4.028973333333332	12.535161106349346	3
110000	2.810426666666667	12.857676929684201	3
111000	3.5121900000000004	12.421270503426772	3
112000	8.280883333333334	9.805499848086956	3
113000	11.270653333333334	8.553706749622254	3
114000	4.439703333333333	10.501232531328565	3
115000	5.54746	8.732335956243324	3
116000	6.509883333333334	11.545038548494905	3
117000	3.6352766666666665	6.323390556373482	3
118000	6.944393333333334	5.244362336131375	3
119000	6.125624333333334	5.0423323214110285	3
120000	2.618843666666667	3.5008248025387294	3
121000	2.6365046666666667	4.348783425934239	3
122000	5.533953333333333	2.7066671452236855	3
123000	3.390871333333333	3.950987949648206	3
124000	3.4157566666666663	5.675277407405679	3
125000	5.110294666666666	4.283201342391615	3
126000	2.4045500000000004	7.845789767824525	3
127000	3.027948	3.527184426427402	3
128000	7.44547	3.6708914066885714	3
129000	9.219716666666667	4.595150681798512	3
130000	4.6464533333333335	2.714004546133505	3
131000	5.595769333333333	4.9923434612555795	3
132000	2.2553966666666665	4.162298771599936	3
133000	-1.23921	7.073291503896894	3
134000	-0.3551566666666662	7.2740297578806565	3
135000	-2.2165800000000004	6.480970182380104	3
136000	-5.651790666666667	5.273574261051165	3
137000	-2.328629	2.4551494903982936	3
138000	-1.79563	5.879259259498598	3
139000	-0.2053696666666666	1.615294500476719	3
140000	-1.4081149999999998	5.350801271840041	3
141000	-1.223145	4.905597279065517	3
142000	-1.5186766666666667	7.6281943362851825	3
143000	-1.6523200000000002	9.430012033094124	3
144000	-3.634233333333334	7.847879675640633	3
145000	-4.898439666666666	11.591832161884952	3
146000	-5.528026333333333	11.6543366806936	3
147000	-2.85045	8.059590617028881	3
148000	-2.1622966666666663	12.58442120286163	3
149000	-0.49878	14.06971491719715	3
150000	2.238856666666667	12.805582153554493	3
151000	-2.2275766666666663	16.229973093342863	3
152000	1.3704666666666672	16.512178585012137	3
153000	1.4272300000000004	15.140427256874228	3
154000	1.9022233333333336	13.209214544727226	3
155000	0.8834833333333331	13.400342594345615	3
156000	-0.4543833333333331	16.677696111298864	3
157000	0.3693333333333341	20.18838947547162	3
158000	1.4164633333333334	18.733327015269694	3
159000	-2.1328	16.780956339553477	3
160000	-0.18142333333333363	11.851146047620597	3
161000	-0.8491933333333338	11.875042686665735	3
162000	-0.7717899999999994	16.24734061461444	3
163000	0.1363400000000005	10.912804030417663	3
164000	0.5650096666666665	8.815058654621666	3
165000	0.5831293333333333	7.126353320645934	3
166000	3.1181599999999996	8.108907491277725	3
167000	0.7706196666666664	11.667700259106777	3
168000	3.457730466666666	12.797246498131097	3
169000	2.5689399999999996	10.904532167163339	3
170000	1.6084733333333336	9.718308596666054	3
171000	-0.3302066666666669	5.920799319098168	3
172000	3.10689	7.204368899265223	3
173000	3.610343333333333	7.609641016712505	3
174000	2.618819333333333	3.6696645359434874	3
175000	-0.45985000000000004	9.14596389767093	3
176000	1.0196699999999999	6.425023930009911	3
177000	-0.771856	5.984659400706777	3
178000	-1.1566833333333335	8.269949030878808	3
179000	1.9878566666666668	11.13936168481091	3
180000	0.8244186666666667	4.691055267811852	3
181000	0.8904233333333339	7.864867127500205	3
182000	1.4785435	7.089549011156263	3
183000	-0.005635333333333363	3.6388903536690043	3
184000	0.9882733333333334	6.012085078841893	3
185000	1.119433333333334	11.944288386644612	3
186000	-0.20450333333333356	10.220984993777915	3
187000	3.368293333333334	12.570976125465886	3
188000	2.4947866666666667	13.039514006961047	3
189000	2.472611	9.745178078576245	3
190000	1.1561240000000002	9.318459604075558	3
191000	-1.8040900000000002	5.519590221782773	3
192000	-2.8865956666666666	6.948161279380778	3
193000	-3.628197666666667	6.624956893907788	3
194000	-5.995147923333334	6.036249989256652	3
195000	-1.6315433333333331	7.867920117618971	3
196000	-3.617913333333334	12.624319282469584	3
197000	-0.7653396666666669	15.449135330607351	3
198000	-2.9059489999999997	15.101652860723656	3
199000	-3.238092333333333	16.844441643799783	3
200000	-2.790921733333333	13.109560733714344	3
