Step	Mean_DeltaT	Std_DeltaT	N_Replicas
1000	3.668097	3.766523775007534	3
2000	3.95993	3.015707384545125	3
3000	2.1360693333333334	1.7562479215535982	3
4000	0.9338866666666666	3.907826348551498	3
5000	3.2780066666666663	6.338684485138327	3
6000	4.95467	2.0992448450812016	3
7000	0.6002933333333335	5.671579150125063	3
8000	2.7049107666666665	5.12342296096906	3
9000	1.5070120000000002	2.124352759249744	3
10000	-0.9334496666666666	4.334846549505569	3
11000	-4.43683	2.1420296368631315	3
12000	1.9277109999999997	2.370935043066975	3
13000	2.101467	6.106995633936298	3
14000	0.9871816666666664	7.648456095687438	3
15000	-2.9817066666666663	8.340535589333179	3
16000	-3.5718866666666664	5.304247074301247	3
17000	-2.239456666666667	6.607023141130454	3
18000	1.1067733333333332	3.8863338174471496	3
19000	-2.0255233	3.118807256594686	3
20000	-2.15772	3.893945075357381	3
21000	-2.092886666666667	6.228021507704781	3
22000	2.3513303333333333	3.115500918054805	3
23000	5.830786666666666	8.20249078181337	3
24000	7.45532	1.743652253203029	3
25000	5.327936666666667	3.630197251794086	3
26000	0.027017999999999986	2.205279841356194	3
27000	2.8806433333333334	2.0903513450454527	3
28000	-0.46728266666666657	1.578664217806096	3
29000	-0.4126726666666667	1.2891308472460556	3
30000	0.6725000000000003	6.901720486943817	3
31000	0.5774599999999999	6.045352356951578	3
32000	-1.3636566666666665	11.103062960347172	3
33000	-1.5357363333333334	8.086361963632985	3
34000	-3.985795333333334	11.533262688269323	3
35000	-4.312417966666667	7.581204917402893	3
36000	1.0718333333333332	8.115047571945178	3
37000	3.55517	8.125510667324239	3
38000	1.25493	6.897416944472765	3
39000	2.062981	8.245430593086876	3
40000	0.11763000000000012	6.984568879945275	3
41000	-3.428202	4.980768713732049	3
42000	-4.004133333333333	4.62501254686226	3
43000	-2.091703333333333	6.900075570704522	3
44000	-0.6424559666666667	6.495347494300347	3
45000	1.2537733333333332	9.306210759790115	3
46000	-3.15833	2.6992106827552385	3
47000	-2.5038533333333333	1.9308783276616197	3
48000	-2.9763033333333335	1.1748990963624637	3
