Step	Mean_DeltaT	Std_DeltaT	N_Replicas
1000	25.702849999999998	0.5989901543431252	2
2000	21.92325	1.9973645248176408	2
3000	21.549100000000003	0.8032733034279175	2
4000	20.0977	3.3474435021371174	2
5000	19.19185	3.3748085345690355	2
6000	19.979999999999997	1.309703180113723	2
7000	17.95555	2.885207799275469	2
8000	16.03225	1.9993444238049647	2
9000	14.91685	0.9461795839057198	2
10000	12.908349999999999	1.091277895405199	2
11000	11.98	1.642326209983875	2
12000	10.9917	1.2398410301324918	2
13000	12.7766	2.184818532510195	2
14000	11.515004999999999	2.707363372739241	2
15000	13.19435	4.002153670837741	2
16000	15.00185	7.047379734695726	2
17000	15.1074	3.974647217049583	2
18000	15.86585	1.8430738251627365	2
19000	17.755699999999997	1.618001736711058	2
20000	18.48995	2.981232900160601	2
21000	17.77085	2.033992656083104	2
22000	16.56475	1.5489174041891325	2
23000	18.465600000000002	1.5833535044329174	2
24000	17.9854	2.0736613465076674	2
25000	18.2661	2.805799707748221	2
26000	21.847949999999997	5.579426056952452	2
27000	21.5966	4.535807158599228	2
28000	21.9961	4.2630053624174575	2
29000	24.54805	8.258370808155806	2
30000	23.8542	7.559678597665378	2
31000	23.7419	6.29395745934146	2
32000	25.36355	3.232962914263013	2
33000	25.275750000000002	4.261803280889441	2
34000	26.82395	5.802164693026216	2
35000	27.1103	5.439065360886924	2
36000	29.414250000000003	6.543778285134669	2
37000	27.19825	2.568706804016371	2
38000	26.7105	1.966181115767314	2
39000	25.091700000000003	0.7663623294499803	2
40000	24.7934	0.3546847614431721	2
41000	25.81835	1.8531147414555846	2
42000	23.470599999999997	2.311956331767536	2
43000	22.210099999999997	0.6216882820192132	2
44000	18.94745	1.9221283632993915	2
45000	19.83765	2.6042035644319332	2
46000	19.4346	5.521655432929511	2
47000	20.36985	5.503624210009256	2
48000	18.87435	1.6872274905892204	2
49000	20.535600000000002	0.9879695946738454	2
50000	20.9184	2.643306569431554	2
51000	20.2434	3.3219876580144008	2
52000	21.68755	3.8637021630814132	2
53000	22.53945	1.6934500302636626	2
54000	17.37705	0.07403407999023232	2
55000	19.9401	1.540644254849249	2
56000	21.432299999999998	1.3094203374012492	2
57000	21.80105	4.02845804309788	2
58000	21.8637	5.0473282041095775	2
59000	21.262	5.8452274960004775	2
60000	22.033549999999998	4.764273359600602	2
61000	24.033099999999997	2.3613123850943576	2
62000	22.80855	0.43239579669557343	2
63000	21.786900000000003	1.76196867736064	2
64000	22.5261	3.01863884888537	2
65000	24.6289	4.28492567263424	2
66000	25.22455	5.37139524192737	2
67000	21.77765	5.599790732250626	2
68000	23.9409	5.579355346274334	2
69000	25.68055	5.653813690333278	2
70000	25.574550000000002	4.8160335759834565	2
71000	25.17135	6.836379071189662	2
72000	27.201949999999997	7.457925931852633	2
73000	24.2284	6.519241679827494	2
74000	23.4311	4.020326315114235	2
75000	23.020200000000003	1.9892327968339942	2
76000	21.3306	3.6729954641954037	2
77000	22.9889	6.380224486646218	2
