Step	Mean_DeltaT	Std_DeltaT	N_Replicas
1000	15.944666666666668	3.059081535908013	3
2000	14.663300000000001	5.725474474661468	3
3000	12.078776666666664	7.612633672890962	3
4000	13.514036666666664	9.362297385259312	3
5000	11.36448	5.677215505791549	3
6000	10.124736666666667	6.238269460758596	3
7000	8.153830000000001	2.5098412423697245	3
8000	7.192600000000001	2.2829661606778147	3
9000	6.605476666666665	1.7209571994193613	3
10000	4.573976666666667	5.779504376885041	3
11000	4.699793333333333	5.491032320141025	3
12000	5.165616666666667	3.673907309885938	3
13000	5.887006666666667	6.359238839203426	3
14000	7.02525	4.874628699285721	3
15000	3.5035066666666665	7.549255527045918	3
16000	4.6695616666666675	10.341398802379606	3
17000	2.600873333333334	14.523119349438446	3
18000	4.3172353333333335	9.377051758484932	3
19000	3.3009999999999997	9.509527643369044	3
20000	3.989991666666667	7.825065633402595	3
21000	2.6903599999999996	12.075934685629928	3
22000	0.7783166666666664	12.311026061114212	3
23000	-0.15090000000000003	7.710673527863827	3
24000	-2.409398	6.608061839705497	3
25000	-1.2519179999999999	8.828211248739576	3
26000	-0.22269666666666646	10.586639485504044	3
27000	-1.435463333333333	7.336689998577923	3
28000	-3.200886666666667	8.141532129527793	3
29000	-0.8019766666666666	8.490847229224734	3
30000	-1.2350026666666667	6.845841688740789	3
31000	-0.7546246666666665	6.641924352595814	3
32000	-1.7271566666666667	6.045012918615917	3
33000	1.9016233333333334	9.092581852567143	3
34000	-0.468466	12.267356873494307	3
35000	0.6224230000000001	5.942031053828059	3
36000	1.062462	1.8062091323609233	3
37000	-1.1673453333333335	2.9666618152167823	3
38000	-2.4709	5.061842442164711	3
39000	-4.396324	4.254563849151638	3
40000	-4.92133	3.340463639092634	3
41000	-5.813100000000001	2.878208831599959	3
42000	-5.483866666666667	7.7044910192324405	3
43000	-6.983050000000001	4.414174211843026	3
44000	-5.864146333333333	4.641583834478306	3
45000	-3.9739600000000004	2.534955206369533	3
46000	-4.457711666666667	4.189606649681846	3
47000	-4.698038366666666	4.422706413966114	3
48000	-1.2304833333333336	7.583696304483279	3
49000	-4.83448	3.3991667541178376	3
50000	-5.641456666666667	4.969850539747984	3
51000	-2.334888	1.7318031627503168	3
52000	-3.98594	3.276636522884404	3
53000	-4.82997	2.5738333838265444	3
54000	-4.104513	3.9650539049005378	3
