Step	Mean_DeltaT	Std_DeltaT	N_Replicas
1000	10.171306666666666	9.400244728645811	3
2000	5.618213333333333	9.142295129628737	3
3000	11.907726666666667	13.260282047985756	3
4000	6.615843333333334	13.904862815023863	3
5000	5.416307666666667	8.045554165819551	3
6000	2.8625700000000003	10.323471506508845	3
7000	4.541282333333334	5.502451897893005	3
8000	8.695423333333332	2.898838612898851	3
9000	9.981373333333334	1.8135963566718294	3
10000	7.02749	1.1609792262999366	3
11000	5.642903333333334	9.295138058965737	3
12000	0.7177566666666665	4.545027269195789	3
13000	5.192906666666667	1.1340616512929684	3
14000	8.726146666666667	7.844710106832077	3
15000	2.132956666666667	6.180913305283721	3
16000	6.1885666666666665	0.9092513997972911	3
17000	2.534111333333333	2.6285369210085925	3
18000	1.6269633333333333	5.662332136861395	3
19000	4.327050000000001	10.599839284352381	3
20000	7.952013333333333	2.116286865061855	3
21000	3.8380833333333335	2.8639089062561562	3
22000	1.6287466666666666	7.025973215963275	3
23000	-1.1366733333333334	2.200013066241502	3
24000	-2.19731	2.9152576966196313	3
25000	4.610900000000001	10.107610838491954	3
26000	4.752865	6.341779856000601	3
27000	0.5684460000000003	11.454156727378408	3
28000	0.3348166666666667	1.7259296303538374	3
29000	2.870093666666666	6.135529339329276	3
30000	8.221123666666665	6.358200617193542	3
31000	6.908673333333333	5.3198823953761725	3
32000	9.586986666666666	11.158936318060666	3
33000	11.783953333333335	9.712363671863473	3
34000	5.469569999999998	8.028363352558229	3
35000	0.3974166666666666	4.3185685776925355	3
36000	8.198937333333333	6.847349799373575	3
37000	6.695246666666667	13.684518633468016	3
38000	4.98819	10.299887024725079	3
39000	7.22326	0.7785843311421055	3
40000	0.40814333333333314	5.265417143440141	3
41000	4.565063333333334	8.330059594338646	3
42000	8.676236666666666	4.976889013553882	3
43000	4.9532	3.11813372458591	3
44000	1.54518	7.553500174832857	3
45000	-2.4231293333333332	3.7999286546409445	3
46000	-6.366936666666667	4.7122921146331045	3
47000	0.988033	3.9671810092756044	3
48000	-1.5283466666666665	3.875631705997531	3
49000	-1.89044	10.914384977601808	3
50000	1.5273466666666666	9.033420081023207	3
51000	-2.4890703333333333	3.303217103086071	3
52000	3.154621	12.250929331781446	3
53000	2.4491433333333332	12.77652783202202	3
54000	2.480423333333334	5.868932205268121	3
55000	2.8039533333333337	8.74287370926364	3
56000	-2.844516666666667	5.338009595994872	3
57000	-3.7751066666666664	2.384494028978335	3
58000	-4.6427163333333334	5.384999219942408	3
59000	-5.835235999999999	5.913547476372199	3
60000	0.05097666666666667	6.016024076018424	3
61000	-1.0792733333333333	8.44319111837659	3
62000	-4.735333333333333	1.416802183134023	3
63000	-3.3570423333333337	3.4679497840909304	3
64000	-3.731726666666667	5.3066070717958125	3
65000	2.1508843333333334	7.079470133832498	3
66000	1.1476323333333334	3.4131108427659265	3
67000	6.137779666666667	8.507626733131298	3
68000	9.045355333333333	10.537942578755368	3
69000	3.823023333333333	3.144395577250631	3
70000	0.21629166666666663	1.7074166447028485	3
71000	-0.6021200000000002	7.34687154806044	3
72000	-5.013773333333333	11.037755236013043	3
73000	-6.847702666666667	7.341295160899153	3
74000	-1.8367466666666667	4.843832801835065	3
75000	-2.0794353333333335	7.781832009715023	3
76000	-5.077130333333334	5.987694950991603	3
77000	-5.354873333333333	7.222837849663616	3
78000	-2.19718	11.883302681859956	3
79000	-9.042	15.654267994384151	3
80000	-0.011696666666666466	15.551724408599624	3
81000	2.9085063333333334	7.434740141772295	3
82000	6.125556666666667	5.135734359819765	3
83000	1.9741733333333331	7.302186353102291	3
84000	4.299946666666667	6.957502374885211	3
85000	3.76465	1.581647078111928	3
86000	2.13761	8.233265286731626	3
87000	0.07014999999999993	7.092348722905551	3
88000	-1.7180233333333332	5.74870783128116	3
89000	2.9614099999999994	3.856453760995975	3
90000	1.274279	5.695619268983224	3
91000	1.003979666666667	11.298594459805624	3
92000	1.7027633333333334	3.08010876607196	3
93000	3.355866666666666	5.24808449151053	3
94000	3.0505266666666664	7.009866577862472	3
95000	-1.5671463333333333	6.184043329269317	3
96000	-2.756016666666666	12.246488606569367	3
97000	-1.8416599999999999	11.6950073302927	3
98000	5.255743333333334	13.903995105710925	3
99000	-0.379886666666667	11.661543334504799	3
100000	6.003647699999999	6.187373016149251	3
101000	7.589479	6.376982714018677	3
102000	1.10896	7.090210450170009	3
103000	0.32742999999999994	3.9841759429523194	3
104000	0.13705333333333355	13.825335581262877	3
105000	-4.808296666666666	13.110904422969199	3
106000	0.4834966666666669	11.991919609721927	3
107000	-6.0485603999999995	7.689189301501198	3
108000	-4.23356	2.1137998203945423	3
109000	-3.4563470000000005	3.8536823072571775	3
110000	1.4090396666666667	5.58827169818633	3
111000	6.437560000000001	6.615357644171629	3
112000	3.6651480000000003	4.568283318150485	3
113000	3.2356933333333338	6.334621742569428	3
114000	3.0108999999999995	6.076969375609853	3
115000	-5.468823333333333	6.0298372611069135	3
116000	-3.807593333333333	2.2685250272442072	3
117000	-5.23908	1.1442186960105136	3
118000	-9.697403333333334	5.067494183127726	3
119000	-9.690323333333334	4.306535776077256	3
120000	-8.122503333333333	4.243705139525287	3
121000	0.3126599999999999	12.24611988315891	3
122000	-1.9511533333333337	9.88053108706882	3
123000	-3.070782	4.292832912102799	3
124000	-9.862443333333333	4.163830552704245	3
125000	-10.962133333333334	4.938874837787787	3
126000	-1.7427933333333332	4.9134298874649	3
127000	-4.271999999999999	8.06020896487802	3
128000	-5.517406666666666	9.183436115988032	3
129000	-6.936519999999999	7.250897753602653	3
130000	-7.335073333333334	10.169347760059804	3
131000	-2.546386666666667	6.124285264456035	3
132000	-10.690863333333333	12.045906114901998	3
133000	-5.989423333333334	4.66715523393355	3
134000	-1.7723933333333335	3.811214754803688	3
135000	-7.707584333333333	7.069519710788444	3
136000	-3.152383333333333	3.9572744423571797	3
137000	-3.107606666666667	4.081308165776426	3
138000	0.179169	1.389042962288424	3
139000	0.20427266666666663	7.23964912581275	3
140000	-0.9002379999999999	7.9485036999697	3
141000	-2.75137	16.819272651821183	3
142000	-0.5791846666666668	6.6558625504456845	3
143000	-3.1232333333333337	7.525685636221682	3
144000	-2.5650666666666666	8.280215264413922	3
145000	1.3053099999999997	5.43944766310882	3
146000	2.200886666666667	8.463332880965591	3
147000	1.9334693333333333	4.056245212375767	3
148000	6.349656666666667	8.249443971482764	3
149000	9.950316666666668	7.1319366023705895	3
150000	5.12228	7.621465520672517	3
151000	6.33173	7.225594646719396	3
152000	1.2454933333333333	7.225514101517853	3
153000	0.5716433333333336	13.196435366053718	3
154000	-2.8385599999999998	11.40931551588876	3
155000	-6.016773333333333	11.020397062544223	3
156000	-7.5425966666666655	5.46644460537499	3
157000	-3.7487066666666666	3.905563124574141	3
158000	-0.6641933333333333	7.38091162481528	3
159000	-6.610996666666666	2.037605295005226	3
160000	-11.342153333333334	6.731763672807693	3
161000	-8.545443333333333	4.686111647158371	3
162000	-7.762926666666668	5.594794892007511	3
163000	-9.43688	5.577102376359967	3
164000	-7.164023333333333	1.6754261165844744	3
165000	-7.511126666666667	11.789240369512083	3
166000	-0.06258333333333344	5.9288701780131206	3
167000	-0.9133133333333333	5.827071234079203	3
168000	-4.1019233333333345	15.41296405752746	3
169000	-6.188110000000001	8.415148570684893	3
170000	-3.868653	4.472166407088068	3
171000	-2.031971	1.1421700058016757	3
172000	-2.526517533333333	2.239509424315123	3
173000	-3.417803333333333	8.54948155892703	3
174000	-4.537346666666667	7.654570483164509	3
175000	0.9079579999999999	3.958173079696238	3
176000	-0.6323833333333334	5.240347217526081	3
177000	-3.071733333333333	0.2986768716076512	3
178000	0.054218666666666714	3.79821348671258	3
179000	1.7539110000000002	1.1916600488281044	3
180000	3.5953966666666672	0.5099117904435368	3
181000	2.297795333333333	2.854249982672389	3
182000	3.8203866666666664	6.582639007611866	3
183000	4.290280666666667	6.330778000359934	3
184000	-0.9621086666666665	3.194159988755312	3
185000	-2.261021	2.225238538247754	3
186000	-1.8616779999999997	5.655614887896099	3
187000	-4.247816666666666	9.169958674685144	3
188000	-5.602580000000001	6.328708264796221	3
189000	3.9636953333333325	4.139682963651363	3
190000	1.3996796666666667	4.043251478816317	3
191000	6.301186666666666	2.265839765568901	3
192000	4.22262	2.4869727923923897	3
193000	-2.9471183333333335	3.3794112074898983	3
194000	-6.33537	5.473046834414996	3
195000	3.5146333333333337	9.040103373050185	3
196000	1.3625366666666665	10.976386857688341	3
197000	2.6153666666666666	5.8062794669765365	3
198000	-0.040963333333333164	15.961785634384183	3
199000	0.7949533333333335	12.482395680438644	3
200000	-0.9767833333333336	11.4334132710155	3
