Step	Mean_DeltaT	Std_DeltaT	N_Replicas
1000	11.935823666666666	14.387039463041393	3
2000	13.783846666666667	9.287933509803638	3
3000	9.429966666666667	7.540113723096842	3
4000	11.884453333333333	10.838466730314455	3
5000	10.094790000000001	12.865590983009682	3
6000	9.511423333333333	14.817300026301462	3
7000	7.49953	15.350622724199171	3
8000	9.666223333333333	12.124182986767945	3
9000	6.628900000000001	17.37113834986067	3
10000	6.745253333333333	15.14416394148364	3
11000	5.346536666666665	14.682476070541826	3
12000	2.3974399999999996	17.277800819166774	3
13000	6.206666666666667	19.76023244229008	3
14000	5.447993333333333	17.57667248201813	3
15000	4.649963333333335	22.465923550836575	3
16000	7.0378	22.449205825819316	3
17000	8.345313333333332	18.465750866957272	3
18000	5.454536666666667	18.501371635612138	3
19000	5.916563333333333	19.18188152106131	3
20000	7.000066666666666	18.36370547311553	3
21000	6.872656666666667	17.868906438325578	3
22000	8.788426666666666	16.807432523810213	3
23000	6.950920000000001	12.696062766224024	3
24000	2.8502733333333325	14.251631111775708	3
25000	2.9006133333333337	12.914142648837874	3
26000	2.5199480000000003	10.764441073881727	3
27000	3.2429500000000004	5.870825881841498	3
28000	1.379503333333333	5.566806094811757	3
29000	1.2800723333333333	8.498590881385946	3
30000	4.538696666666667	10.944267484077375	3
31000	5.15633	10.046871360911314	3
32000	5.141696666666666	10.613925455797837	3
33000	6.8415099999999995	11.00045482661058	3
34000	8.886223333333334	12.40645187963236	3
35000	4.8853333333333335	13.255593696373365	3
36000	4.549	14.853292904941988	3
37000	4.316766666666667	13.61082378562493	3
38000	6.619466666666665	14.258216608308114	3
39000	7.7857400000000005	11.009368913375553	3
40000	4.680693333333333	8.274851327059196	3
41000	3.2936926666666673	12.991583621337368	3
42000	1.3963233333333334	7.953939042929191	3
43000	1.0270366666666664	12.056359581400736	3
44000	0.7301266666666665	11.574465382342	3
45000	0.6697833333333332	11.918526565487587	3
46000	-0.09477333333333338	8.657648995162216	3
47000	1.9553406666666664	6.163668469147358	3
48000	0.6145866666666667	7.351130500068226	3
49000	-0.7510666666666665	13.209687627394274	3
50000	4.936757	8.426373765110174	3
51000	3.8013933333333334	11.15006950108085	3
52000	3.844023333333334	10.769996718088327	3
53000	2.746999666666667	10.441449024797292	3
54000	3.8497839999999997	8.138315546480916	3
55000	6.5167763333333335	7.105111758024664	3
56000	6.517130333333334	10.818872503596774	3
57000	4.505214	13.988279633294011	3
58000	2.926943333333334	6.897528481784859	3
59000	4.613735666666667	4.975893599519219	3
60000	2.996646666666667	4.6879627459306175	3
61000	2.2230899999999996	9.606675227366647	3
62000	3.508336666666666	9.583543263962099	3
63000	2.3238799999999995	8.509441779411855	3
64000	0.49035966666666697	10.267959985883776	3
65000	-1.5821129999999997	16.239319958505252	3
66000	0.07813433333333315	11.86313401368864	3
67000	-0.4968689999999998	9.730264586972083	3
68000	-0.6713999999999997	7.996710695704829	3
69000	2.0462510333333337	6.44963700171988	3
70000	1.778246666666666	7.963316490648436	3
71000	-0.3433799999999998	9.136036619908	3
72000	1.63141	6.7242808668065015	3
73000	-0.5651653333333334	4.767375294170297	3
74000	0.036502333333333394	4.056441408294509	3
75000	2.629446666666666	8.566327986041237	3
76000	-0.7073333333333331	6.443232355039925	3
77000	-0.43431366666666654	5.3175859515084785	3
78000	1.7447899999999998	6.643022076532638	3
79000	2.371586666666667	6.235028226450408	3
80000	-0.4691299999999998	7.5560331077159795	3
81000	-1.6070633333333337	10.530623867854807	3
82000	-0.32845666666666656	5.919102142929562	3
83000	-1.72209	5.271255343397813	3
84000	0.6955699999999999	6.669896034339666	3
85000	0.6531466666666664	5.88933858953901	3
86000	-0.33316333333333326	7.545331197928514	3
87000	0.4971316666666666	6.124739924030108	3
88000	-2.3557433333333333	2.864327743508646	3
89000	-4.27062	6.4668857785413225	3
90000	-1.9771276666666668	4.434443003605564	3
91000	-1.4494753333333332	4.011708291701346	3
92000	-1.3067183333333336	4.778214117409175	3
93000	-1.692123333333333	6.760634421504636	3
94000	-4.404476666666667	7.702199756863836	3
95000	0.8456999999999999	8.42973628600563	3
96000	2.4356333333333335	9.230881474400661	3
97000	1.0075333333333336	6.966197084524191	3
98000	-2.3779966666666668	9.115230285353922	3
99000	-0.5009799999999999	5.937653796753394	3
100000	-1.657370666666667	6.087220170501585	3
101000	-0.19711066666666652	7.324601068732776	3
102000	-0.3500499999999998	6.455160529343945	3
103000	1.6304566666666667	4.86819437624807	3
104000	2.44718	10.563952844371277	3
105000	3.38576	11.299993787060238	3
106000	1.4607133333333333	12.109489120212022	3
107000	-0.6471566666666669	10.619179721693826	3
108000	-1.244203333333333	9.18994708945777	3
109000	0.86244	12.747363484219001	3
110000	1.4481966666666668	9.436492552433522	3
111000	-0.8723599999999996	12.377088179830505	3
112000	0.5109	11.971929707398887	3
113000	1.3453533333333334	7.982262863664245	3
114000	1.3050599999999999	6.2079925943174254	3
115000	3.9183	7.959922530401913	3
116000	-0.1972066666666666	8.382551019900406	3
117000	-1.8143866666666668	8.980179730842437	3
118000	-1.8376859999999997	6.614736402710844	3
119000	-1.9474849999999997	6.437125549146529	3
120000	-1.2250333333333332	6.142913452559244	3
121000	-5.520186333333332	4.617677491054387	3
122000	-3.51282	11.054392256741208	3
123000	-1.57204	11.077953151895885	3
124000	-2.12068	9.193841248895914	3
125000	0.5659866666666665	10.813547762956121	3
126000	-1.2419533333333332	14.467084434070788	3
127000	-0.9351099999999996	9.812527784556844	3
128000	0.004983333333333413	10.484975634746766	3
129000	-2.0635266666666663	8.761487769747404	3
130000	-4.411015333333334	11.606361523498453	3
131000	-3.2917623333333332	12.459661429897938	3
132000	-3.475306666666666	11.200130188356443	3
133000	-4.947296666666667	16.193834937285033	3
134000	-4.317936666666667	18.162140725466074	3
135000	-3.52932	13.915644304533656	3
136000	-5.907286666666667	8.860618851397081	3
137000	-6.415870000000001	9.310970946109757	3
138000	-3.6171666666666664	7.65957784325829	3
139000	-2.694703333333333	6.686814979871459	3
140000	0.3361556666666665	8.662032816577547	3
141000	-5.975436333333334	10.338227244235364	3
142000	-3.0554099999999997	11.870747147888373	3
143000	-4.4162099999999995	12.818614476732654	3
144000	-2.35166	9.10362159121852	3
145000	-1.8219900000000002	10.99144792400437	3
146000	0.31069333333333365	10.427392175823892	3
147000	-1.2129566666666671	9.344981585719328	3
148000	-2.566313333333333	10.76569241169528	3
149000	-4.2047859333333335	7.19141411750988	3
150000	-3.970252666666667	8.024475046802834	3
151000	-4.40233	7.214772731826	3
152000	-2.512268666666667	9.053902082864898	3
153000	-9.796353333333334	9.067165688363335	3
154000	-9.194953333333334	9.033801322595783	3
155000	-10.06367	4.927315906545875	3
156000	-7.689373333333333	5.330497597920229	3
157000	-4.738999666666667	7.490499617737814	3
158000	1.2003199999999998	7.421311158656535	3
159000	1.6382900000000002	8.064402558106831	3
160000	2.986133333333333	7.185047770838642	3
161000	-0.3410500000000001	7.87582363990586	3
162000	-0.6096466666666668	3.7922605614373777	3
163000	0.5521783333333333	7.114197829668383	3
164000	0.8201	3.8154259373757995	3
165000	-1.4362476666666666	2.7921278607768545	3
166000	-3.5911100000000005	5.869943562011478	3
167000	-1.45414	5.89133540656955	3
168000	-2.9519409999999997	4.824713581743791	3
169000	1.091116666666667	7.635532331961756	3
170000	0.021069999999999922	4.824538338286888	3
171000	-0.1565766666666666	4.115704506598273	3
172000	-0.42478300000000013	4.239967991267976	3
