Step	Mean_DeltaT	Std_DeltaT	N_Replicas
1000	12.3971		1
2000	10.1967		1
3000	10.69		1
4000	11.9776		1
5000	13.7		1
6000	13.245		1
7000	14.7523		1
8000	7.87233		1
9000	12.0246		1
10000	12.541		1
11000	19.5647		1
12000	21.4551		1
13000	20.8312		1
14000	19.5919		1
15000	22.9861		1
16000	23.0104		1
17000	23.2685		1
18000	20.2663		1
19000	20.3849		1
20000	17.0651		1
21000	20.7776		1
22000	22.6644		1
23000	21.4824		1
24000	20.1196		1
25000	19.006		1
26000	20.7483		1
27000	24.3603		1
28000	48.9463		1
29000	93994.0		1
30000	729316.0		1
