Step	Mean_DeltaT	Std_DeltaT	N_Replicas
1000	13.678166666666664	9.047271500476446	3
2000	8.72115	5.714504461674696	3
3000	10.6165	2.9018003088600017	3
4000	8.142746666666667	3.0168096357797145	3
5000	5.665826666666667	2.9169516847958477	3
6000	1.9309766666666668	5.207238634961272	3
7000	6.107896666666666	4.765510366060841	3
8000	6.934047333333333	6.344931879082811	3
9000	7.304733333333334	3.1517187139770795	3
10000	6.271043333333332	2.1827996124778224	3
11000	3.360286666666667	1.122875193970075	3
12000	2.468974333333333	2.2734571605126703	3
13000	0.5228933333333335	6.72016610808344	3
14000	3.840175	4.146464534488991	3
15000	7.08615	2.5040178973801286	3
16000	3.010156666666667	2.2879779687386272	3
17000	3.0187449999999996	6.85397285769903	3
18000	3.725469333333334	5.545528903976728	3
19000	4.636901	4.443818625566641	3
20000	2.581186666666666	3.941947979874079	3
21000	1.1641766666666664	5.912389010377559	3
22000	0.9328841333333333	3.9866948972776	3
23000	3.416966666666666	6.276998164141307	3
24000	2.0786046666666667	3.9601716295990674	3
25000	0.5980000000000002	5.1672855918073655	3
26000	1.4084299999999998	11.024670752675565	3
27000	3.9005999999999994	10.955595658516245	3
28000	1.9790366666666668	8.932864859575194	3
29000	2.1499100000000007	5.678035699218525	3
30000	-1.2299123333333333	1.8555685030858695	3
31000	-5.270063333333333	0.4669281118473522	3
32000	-0.6704673333333333	6.049641363218264	3
33000	1.5712266666666663	4.928176734922697	3
34000	0.22976333333333324	4.444124375423502	3
35000	2.944635	3.25588336601221	3
36000	3.431171666666667	4.174371864347777	3
37000	1.92358	0.8006670960517861	3
38000	1.4925456666666668	4.356862181049148	3
39000	-1.3921843333333335	4.087472330330363	3
40000	-2.1217066666666664	7.33128732281264	3
41000	-1.1110066666666667	9.901379589861877	3
42000	4.107543333333333	10.28810912206093	3
43000	4.536756666666666	6.276886267858718	3
44000	5.246630333333333	5.1477733657106866	3
45000	5.237206666666666	1.0340062776566363	3
46000	2.5256966666666667	4.590446907462642	3
47000	3.89552	10.433956944189486	3
48000	0.8280433333333335	13.286619450847283	3
49000	-1.2039099999999998	9.173200726861918	3
50000	1.8697133333333333	10.26270814980302	3
51000	2.2769566666666665	9.908107648054362	3
52000	7.081512466666667	9.62849696578486	3
53000	5.497700333333333	6.929334293229786	3
54000	4.718923333333333	9.17380998175967	3
55000	7.458803333333333	5.371700094163237	3
56000	7.711735666666667	6.9983923032733975	3
57000	5.078313333333333	3.5322685947890955	3
58000	6.167819999999999	1.9628617704005547	3
59000	5.3566666666666665	3.925888284736759	3
60000	1.1408166666666668	7.340101580566398	3
61000	3.1239179999999998	3.7220118731315193	3
62000	0.84888	4.678823658923255	3
63000	2.5983599999999996	10.586498860473183	3
64000	1.79115	11.156673317082472	3
65000	1.3467233333333335	10.566672793147015	3
