Step	Mean_DeltaT	Std_DeltaT	N_Replicas
1000	14.38386	5.713593662030929	3
2000	12.188833333333333	5.820099910940819	3
3000	8.601734333333333	7.857170128553685	3
4000	8.072330000000001	8.80286178896954	3
5000	8.962436666666667	6.8257855412423645	3
6000	10.067293333333332	3.1701307462206243	3
7000	6.912286666666667	4.436934963973817	3
8000	6.7802766666666665	4.678281091558451	3
9000	5.524376666666666	7.264836340168533	3
10000	4.177566666666666	7.229906410717454	3
11000	3.0327366666666666	9.104649493804434	3
12000	4.672325666666667	6.9815317231053475	3
13000	4.871786666666667	7.608576023674426	3
14000	4.8103316666666665	8.778856531343495	3
15000	2.9520633333333333	9.543352709453494	3
16000	1.8789766666666665	9.405458865543634	3
17000	4.411288333333334	8.165898043761528	3
18000	4.053759333333334	5.852422959749349	3
19000	2.819084666666667	9.120704928058212	3
20000	3.0311706666666667	8.790184335698617	3
21000	4.034332666666667	8.247632766868403	3
22000	3.63041	7.308722554201932	3
23000	1.5546620000000002	9.0829025967216	3
24000	1.5058800000000003	10.488672420840494	3
25000	-1.2641566666666666	9.595809794042049	3
26000	-1.2749	7.408741947706102	3
27000	-0.63063	5.584176653572127	3
28000	-0.6804666666666664	5.419006284701406	3
29000	0.9957236666666663	5.5913785167998	3
30000	0.56677	5.764206250673201	3
31000	-1.8109933333333332	4.8826582341418625	3
32000	-3.693706666666666	8.678627445767754	3
33000	-4.3086866666666666	12.327738485733438	3
34000	-4.146669999999999	8.591718678430993	3
35000	-2.9377866666666663	8.783785501367468	3
36000	2.8131199999999996	14.431983947371892	3
37000	70975.69577	122944.69446185426	3
38000	-842436.0862866667	1459126.2909773013	3
39000	-514438.76633666665	891019.9653854708	3
40000	402264.3644866666	696756.9589286479	3
41000	-5.583575000000001	11.100197606405484	2
42000	-5.9815495	9.262463144547485	2
43000	-5.549145	2.71050292684771	2
44000	-6.677625000000001	6.053081534330262	2
45000	-7.0594	1.8029384442625875	2
46000	-6.182125	4.843193547448832	2
47000	-5.7350900000000005	2.712673744665952	2
48000	-5.206175	1.888759994295199	2
49000	-7.687165	4.418052666328231	2
50000	-6.73435	5.2432674931763685	2
51000	-6.87621	6.62911193148826	2
52000	-5.251265	5.531491288255817	2
53000	-4.050320500000001	6.869753804154885	2
54000	-3.51893	9.657197726970283	2
55000	-4.809595	13.274805516995343	2
56000	-7.8925315	11.942988986513571	2
57000	-7.416905	12.140309255124023	2
58000	-5.606245	10.61686183719323	2
59000	-5.11712	12.969300032183696	2
60000	-4.6675949999999995	12.48920988309709	2
61000	-5.651415	13.178045025057775	2
62000	-7.101995	12.103129580569234	2
63000	-7.125342	8.942861486052884	2
64000	-8.232330000000001	9.78193136317159	2
65000	-7.020093	10.518647533713544	2
66000	-8.51129	10.042910333971921	2
67000	-9.407425	11.165322140952762	2
68000	-5.7078050000000005	3.8274629405456038	2
69000	20663.42587	29224.82810209139	2
70000	-237554.867605	335948.0331900957	2
71000	-1.92244		1
72000	-0.054626		1
73000	-2.64742		1
74000	-5.08148		1
75000	-3.94115		1
76000	-5.79745		1
77000	-4.52842		1
78000	-3.52746		1
79000	-0.62953		1
80000	-0.857477		1
81000	-6.16592		1
82000	-10.0696		1
83000	-10.7171		1
84000	-6.51365		1
85000	-6.93645		1
86000	-7.59727		1
87000	-8.28136		1
88000	-6.48765		1
89000	-7.2723		1
90000	-5.97635		1
91000	-7.16027		1
92000	-9.35711		1
93000	-10.2697		1
94000	-9.31465		1
95000	-7.82118		1
96000	-8.38241		1
97000	-5.83345		1
98000	-6.58918		1
99000	-5.53092		1
100000	-3.93455		1
101000	-4.29562		1
102000	-4.07309		1
103000	-7.31483		1
104000	-9.72804		1
105000	-7.72248		1
106000	-4.60277		1
107000	-1.92868		1
108000	-4.18903		1
109000	-4.4457		1
110000	-5.33025		1
111000	-6.79731		1
112000	-5.58118		1
113000	-4.75126		1
114000	-2.11386		1
115000	-1.67139		1
116000	2.18324		1
117000	2.86568		1
118000	2.2868		1
119000	2.43625		1
120000	1.48942		1
121000	1.84227		1
122000	0.326664		1
123000	-0.453238		1
124000	-3.59115		1
125000	-3.32974		1
126000	-3.40092		1
127000	-3.23374		1
128000	-2.12162		1
129000	0.702469		1
130000	2.0489		1
131000	4.58547		1
132000	5.85355		1
133000	4.34226		1
134000	2.56773		1
135000	1.79469		1
136000	-0.575201		1
137000	-1.78501		1
138000	1.23229		1
139000	3.7559		1
140000	4.88603		1
141000	7.80909		1
142000	11.1026		1
143000	9.08056		1
144000	6.58749		1
145000	9.49878		1
146000	9.99957		1
147000	9.00491		1
148000	10.7889		1
149000	11.4796		1
150000	9.02537		1
151000	9.76035		1
152000	7.38433		1
153000	7.44133		1
154000	5.30659		1
155000	4.79024		1
156000	6.24286		1
157000	10.0679		1
158000	9.85463		1
159000	4.97447		1
160000	5.0616		1
161000	2.99947		1
162000	0.892259		1
163000	1.46779		1
164000	3.16505		1
165000	4.84486		1
166000	4.58253		1
167000	4.81783		1
168000	3.87592		1
169000	2.09521		1
170000	3.23311		1
171000	3.20851		1
172000	4.79574		1
173000	3.26112		1
174000	2.03379		1
175000	1.76373		1
176000	0.7436		1
177000	-0.784524		1
178000	0.660748		1
179000	3.04775		1
180000	3.62921		1
181000	2.54421		1
182000	0.767216		1
183000	1.05712		1
184000	-0.704743		1
185000	-1.47902		1
186000	-1.1779		1
187000	-1.69286		1
188000	1.02202		1
189000	0.283681		1
190000	0.817555		1
191000	-0.494046		1
192000	-1.51199		1
193000	-1.37072		1
194000	-2.78541		1
195000	-3.8678		1
196000	-0.371863		1
197000	-1.11506		1
198000	-2.93452		1
199000	-1.53377		1
200000	-2.30496		1
